threads;execution time, s
3101;0,247889
3201;0,223368
3301;0,218338
3401;0,223127
3501;0,252461
3601;0,222386
3701;0,227808
3801;0,229571
3901;0,236428
4001;0,231393
4101;0,229794
4201;0,233446
4301;0,233085
4401;0,235792
4501;0,246708
4601;0,244769
4701;0,241254
4801;0,258191
4901;0,262715
5001;0,270152
5101;0,275714
5201;0,282637
5301;0,286760
5401;0,312052
5501;0,302891
5601;0,310792
5701;0,321164
5801;0,350825
5901;0,333426
6001;0,339333
6101;0,348170
6201;0,351659
6301;0,363995
6401;0,372575
6501;0,378819
6601;0,388453
6701;0,397050
6801;0,405332
6901;0,414371
7001;0,427976
7101;0,439829
7201;0,442776
7301;0,455210
7401;0,467023
7501;0,476270
7601;0,482789
7701;0,497343
7801;0,508706
7901;0,517264
8001;0,532265
8101;0,546929
8201;0,559529
8301;0,572211
8401;0,584017
8501;0,592892
8601;0,610226
8701;0,630266
8801;0,638982
8901;0,646366
9001;0,662679
9101;0,680653
9201;0,695828
9301;0,710795
9401;0,717447
9501;0,736186
9601;0,747131
9701;0,763026
9801;0,782762
9901;0,797981
10000;0,785892
11000;0,952448
12000;1,129533
13000;1,304306
14000;1,493342
15000;1,673474
16000;1,867523
17000;2,081661
18000;2,260540
19000;2,490569
20000;2,704080
21000;2,937121
22000;3,184968
23000;3,464056
24000;3,681603
25000;3,975659
26000;4,243021
27000;4,525927
28000;4,871300
29000;5,103873
30000;5,397470
